rank,player,club,nationality,position,assists
1,Simon Francis,AFC Bournemouth,England,DEF,2
2,Nathaniel Clyne,AFC Bournemouth,England,DEF,1
2,Steve Cook,AFC Bournemouth,England,DEF,1
2,Chris Mepham,AFC Bournemouth,Wales,DEF,1
2,Adam Smith,AFC Bournemouth,England,DEF,1
1,Héctor Bellerín,Arsenal,Spain,DEF,5
1,Sead Kolasinac,Arsenal,Bosnia And Herzegovina,DEF,5
3,Nacho Monreal,Arsenal,Spain,DEF,3
4,Sokratis,Arsenal,Greece,DEF,2
1,Shane Duffy,Brighton and Hove Albion,Ireland,DEF,1
1,Lewis Dunk,Brighton and Hove Albion,England,DEF,1
1,Bernardo,Brighton and Hove Albion,Brazil,DEF,1
1,Martín Montoya,Brighton and Hove Albion,Spain,DEF,1
1,Bruno,Brighton and Hove Albion,Spain,DEF,1
1,Ben Mee,Burnley,England,DEF,2
2,Kevin Long,Burnley,Ireland,DEF,1
2,James Tarkowski,Burnley,England,DEF,1
2,Charlie Taylor,Burnley,England,DEF,1
1,Sean Morrison,Cardiff City,England,DEF,3
2,Sol Bamba,Cardiff City,Cote D'Ivoire,DEF,1
2,Joe Bennett,Cardiff City,England,DEF,1
2,Bruno Ecuele Manga,Cardiff City,Gabon,DEF,1
2,Callum Paterson,Cardiff City,Scotland,DEF,1
1,César Azpilicueta,Chelsea,Spain,DEF,5
2,Marcos Alonso,Chelsea,Spain,DEF,4
3,David Luiz,Chelsea,Brazil,DEF,2
1,Patrick van Aanholt,Crystal Palace,Netherlands,DEF,2
2,Scott Dann,Crystal Palace,England,DEF,1
2,Jeffrey Schlupp,Crystal Palace,Ghana,DEF,1
2,James Tomkins,Crystal Palace,England,DEF,1
1,Lucas Digne,Everton,France,DEF,4
2,Seamus Coleman,Everton,Ireland,DEF,2
2,Michael Keane,Everton,England,DEF,2
2,Kurt Zouma,Everton,France,DEF,2
5,Jonjoe Kenny,Everton,England,DEF,1
1,Joe Bryan,Fulham,England,DEF,1
1,Cyrus Christie,Fulham,Ireland,DEF,1
1,Maxime Le Marchand,Fulham,France,DEF,1
1,Håvard Nordtveit,Fulham,Norway,DEF,1
1,Denis Odoi,Fulham,Belgium,DEF,1
1,Chris Löwe,Huddersfield Town,Germany,DEF,2
2,Erik Durm,Huddersfield Town,Germany,DEF,1
2,Zanka,Huddersfield Town,Denmark,DEF,1
2,Terence Kongolo,Huddersfield Town,Netherlands,DEF,1
1,Ricardo Pereira,Leicester City,Portugal,DEF,6
2,Ben Chilwell,Leicester City,England,DEF,4
1,Trent Alexander-Arnold,Liverpool,England,DEF,12
2,Andrew Robertson,Liverpool,Scotland,DEF,11
3,Virgil van Dijk,Liverpool,Netherlands,DEF,2
6,Benjamin Mendy,Manchester City,France,DEF,5
8,Aymeric Laporte,Manchester City,France,DEF,3
14,Fabian Delph,Manchester City,England,DEF,1
14,Kyle Walker,Manchester City,England,DEF,1
1,Luke Shaw,Manchester United,England,DEF,4
2,Diogo Dalot,Manchester United,Portugal,DEF,2
2,Ashley Young,Manchester United,England,DEF,2
4,Phil Jones,Manchester United,England,DEF,1
4,Victor Lindelöf,Manchester United,Sweden,DEF,1
1,Javier Manquillo,Newcastle United,Spain,DEF,3
2,DeAndre Yedlin,Newcastle United,United States,DEF,2
3,Federico Fernández,Newcastle United,Argentina,DEF,1
3,Jamaal Lascelles,Newcastle United,England,DEF,1
3,Fabian Schär,Newcastle United,Switzerland,DEF,1
1,Matt Targett,Southampton,England,DEF,3
2,Cédric Soares,Southampton,Portugal,DEF,2
3,Jan Bednarek,Southampton,Poland,DEF,1
3,Yan Valery,Southampton,France,DEF,1
3,Maya Yoshida,Southampton,Japan,DEF,1
1,Danny Rose,Tottenham Hotspur,England,DEF,3
1,Kieran Trippier,Tottenham Hotspur,England,DEF,3
1,Kyle Walker-Peters,Tottenham Hotspur,England,DEF,3
4,Serge Aurier,Tottenham Hotspur,Cote D'Ivoire,DEF,2
5,Davinson Sánchez,Tottenham Hotspur,Colombia,DEF,1
1,José Holebas,Watford,Greece,DEF,6
2,Daryl Janmaat,Watford,Netherlands,DEF,2
3,Kiko Femenía,Watford,Spain,DEF,1
3,Adam Masina,Watford,Italy,DEF,1
1,Aaron Cresswell,West Ham United,England,DEF,1
1,Arthur Masuaku,West Ham United,The Democratic Republic Of Congo,DEF,1
1,Angelo Ogbonna,West Ham United,Italy,DEF,1
1,Pablo Zabaleta,West Ham United,Argentina,DEF,1
1,Matt Doherty,Wolverhampton Wanderers,Ireland,DEF,5
2,Jonny,Wolverhampton Wanderers,Spain,DEF,1
