rank,player,club,nationality,position,goals
1,Nathan Aké,AFC Bournemouth,Netherlands,DEF,4
2,Steve Cook,AFC Bournemouth,England,DEF,1
2,Charlie Daniels,AFC Bournemouth,England,DEF,1
2,Adam Smith,AFC Bournemouth,England,DEF,1
1,Laurent Koscielny,Arsenal,France,DEF,3
2,Shkodran Mustafi,Arsenal,Germany,DEF,2
3,Nacho Monreal,Arsenal,Spain,DEF,1
3,Sokratis,Arsenal,Greece,DEF,1
1,Shane Duffy,Brighton and Hove Albion,Ireland,DEF,5
2,Lewis Dunk,Brighton and Hove Albion,England,DEF,2
3,Leon Balogun,Brighton and Hove Albion,Nigeria,DEF,1
1,James Tarkowski,Burnley,England,DEF,3
2,Ben Gibson,Burnley,England,DEF,1
1,Sol Bamba,Cardiff City,Cote D'Ivoire,DEF,4
1,Callum Paterson,Cardiff City,Scotland,DEF,4
3,Sean Morrison,Cardiff City,England,DEF,1
1,David Luiz,Chelsea,Brazil,DEF,3
2,Marcos Alonso,Chelsea,Spain,DEF,2
3,César Azpilicueta,Chelsea,Spain,DEF,1
3,Antonio Rüdiger,Chelsea,Germany,DEF,1
1,Jeffrey Schlupp,Crystal Palace,Ghana,DEF,4
2,Patrick van Aanholt,Crystal Palace,Netherlands,DEF,3
3,James Tomkins,Crystal Palace,England,DEF,1
3,Joel Ward,Crystal Palace,England,DEF,1
1,Lucas Digne,Everton,France,DEF,4
2,Seamus Coleman,Everton,Ireland,DEF,2
2,Kurt Zouma,Everton,France,DEF,2
4,Phil Jagielka,Everton,England,DEF,1
4,Michael Keane,Everton,England,DEF,1
4,Yerry Mina,Everton,Colombia,DEF,1
1,Calum Chambers,Fulham,England,DEF,2
1,Zanka,Huddersfield Town,Denmark,DEF,3
2,Terence Kongolo,Huddersfield Town,Netherlands,DEF,1
2,Christopher Schindler,Huddersfield Town,Germany,DEF,1
2,Jon Gorenc Stankovic,Huddersfield Town,Slovenia,DEF,1
1,Harry Maguire,Leicester City,England,DEF,3
1,Wes Morgan,Leicester City,Jamaica,DEF,3
3,Ricardo Pereira,Leicester City,Portugal,DEF,2
4,Jonny Evans,Leicester City,Northern Ireland,DEF,1
1,Virgil van Dijk,Liverpool,Netherlands,DEF,4
2,Trent Alexander-Arnold,Liverpool,England,DEF,1
2,Dejan Lovren,Liverpool,Croatia,DEF,1
2,Joel Matip,Liverpool,Cameroon,DEF,1
9,Aymeric Laporte,Manchester City,France,DEF,3
11,Danilo,Manchester City,Brazil,DEF,1
11,Vincent Kompany,Manchester City,Belgium,DEF,1
11,Kyle Walker,Manchester City,England,DEF,1
1,Ashley Young,Manchester United,England,DEF,2
2,Victor Lindelöf,Manchester United,Sweden,DEF,1
2,Luke Shaw,Manchester United,England,DEF,1
2,Chris Smalling,Manchester United,England,DEF,1
1,Fabian Schär,Newcastle United,Switzerland,DEF,4
2,Ciaran Clark,Newcastle United,Ireland,DEF,3
3,DeAndre Yedlin,Newcastle United,United States,DEF,1
1,Yan Valery,Southampton,France,DEF,2
2,Cédric Soares,Southampton,Portugal,DEF,1
2,Ryan Bertrand,Southampton,England,DEF,1
2,Jack Stephens,Southampton,England,DEF,1
2,Matt Targett,Southampton,England,DEF,1
1,Juan Foyth,Tottenham Hotspur,Argentina,DEF,1
1,Davinson Sánchez,Tottenham Hotspur,Colombia,DEF,1
1,Kieran Trippier,Tottenham Hotspur,England,DEF,1
1,Jan Vertonghen,Tottenham Hotspur,Belgium,DEF,1
1,Craig Cathcart,Watford,Northern Ireland,DEF,3
1,José Holebas,Watford,Greece,DEF,3
3,Kiko Femenía,Watford,Spain,DEF,1
1,Declan Rice,West Ham United,England,DEF,2
2,Fabián Balbuena,West Ham United,Paraguay,DEF,1
2,Issa Diop,West Ham United,France,DEF,1
2,Ryan Fredericks,West Ham United,England,DEF,1
2,Angelo Ogbonna,West Ham United,Italy,DEF,1
1,Willy Boly,Wolverhampton Wanderers,France,DEF,4
1,Matt Doherty,Wolverhampton Wanderers,Ireland,DEF,4
3,Ryan Bennett,Wolverhampton Wanderers,England,DEF,1
3,Jonny,Wolverhampton Wanderers,Spain,DEF,1
