rank,player,club,nationality,position,throughBalls
1,Nathaniel Clyne,AFC Bournemouth,England,DEF,2
2,Nathan Aké,AFC Bournemouth,Netherlands,DEF,1
2,Charlie Daniels,AFC Bournemouth,England,DEF,1
1,Héctor Bellerín,Arsenal,Spain,DEF,6
2,Shkodran Mustafi,Arsenal,Germany,DEF,4
3,Sead Kolasinac,Arsenal,Bosnia And Herzegovina,DEF,3
4,Sokratis,Arsenal,Greece,DEF,1
1,Lewis Dunk,Brighton and Hove Albion,England,DEF,2
2,Martín Montoya,Brighton and Hove Albion,Spain,DEF,1
1,Matthew Lowton,Burnley,England,DEF,3
2,Ben Mee,Burnley,England,DEF,1
1,Joe Bennett,Cardiff City,England,DEF,2
1,Bruno Ecuele Manga,Cardiff City,Gabon,DEF,2
1,Callum Paterson,Cardiff City,Scotland,DEF,2
4,Sol Bamba,Cardiff City,Cote D'Ivoire,DEF,1
1,David Luiz,Chelsea,Brazil,DEF,42
2,Antonio Rüdiger,Chelsea,Germany,DEF,8
3,Marcos Alonso,Chelsea,Spain,DEF,2
3,César Azpilicueta,Chelsea,Spain,DEF,2
3,Emerson,Chelsea,Italy,DEF,2
1,Patrick van Aanholt,Crystal Palace,Netherlands,DEF,5
2,Jeffrey Schlupp,Crystal Palace,Ghana,DEF,3
1,Calum Chambers,Fulham,England,DEF,2
1,Denis Odoi,Fulham,Belgium,DEF,2
3,Joe Bryan,Fulham,England,DEF,1
3,Timothy Fosu-Mensah,Fulham,Netherlands,DEF,1
3,Maxime Le Marchand,Fulham,France,DEF,1
1,Florent Hadergjonaj,Huddersfield Town,Switzerland,DEF,2
2,Terence Kongolo,Huddersfield Town,Netherlands,DEF,1
1,Ricardo Pereira,Leicester City,Portugal,DEF,3
1,Ben Chilwell,Leicester City,England,DEF,3
3,Harry Maguire,Leicester City,England,DEF,2
1,Joel Matip,Liverpool,Cameroon,DEF,4
2,Trent Alexander-Arnold,Liverpool,England,DEF,3
3,Andrew Robertson,Liverpool,Scotland,DEF,2
4,Dejan Lovren,Liverpool,Croatia,DEF,1
10,Kyle Walker,Manchester City,England,DEF,4
12,Benjamin Mendy,Manchester City,France,DEF,2
1,Luke Shaw,Manchester United,England,DEF,2
1,Ashley Young,Manchester United,England,DEF,2
3,Victor Lindelöf,Manchester United,Sweden,DEF,1
3,Chris Smalling,Manchester United,England,DEF,1
1,Fabian Schär,Newcastle United,Switzerland,DEF,4
2,Florian Lejeune,Newcastle United,France,DEF,3
3,Jamaal Lascelles,Newcastle United,England,DEF,2
4,Javier Manquillo,Newcastle United,Spain,DEF,1
4,DeAndre Yedlin,Newcastle United,United States,DEF,1
1,Jan Bednarek,Southampton,Poland,DEF,3
1,Jannik Vestergaard,Southampton,Denmark,DEF,3
3,Matt Targett,Southampton,England,DEF,2
4,Ryan Bertrand,Southampton,England,DEF,1
1,Toby Alderweireld,Tottenham Hotspur,Belgium,DEF,6
2,Kieran Trippier,Tottenham Hotspur,England,DEF,3
3,Danny Rose,Tottenham Hotspur,England,DEF,2
4,Juan Foyth,Tottenham Hotspur,Argentina,DEF,1
1,Daryl Janmaat,Watford,Netherlands,DEF,1
1,Declan Rice,West Ham United,England,DEF,2
2,Fabián Balbuena,West Ham United,Paraguay,DEF,1
2,Arthur Masuaku,West Ham United,The Democratic Republic Of Congo,DEF,1
2,Angelo Ogbonna,West Ham United,Italy,DEF,1
1,Matt Doherty,Wolverhampton Wanderers,Ireland,DEF,3
2,Willy Boly,Wolverhampton Wanderers,France,DEF,2
3,Ryan Bennett,Wolverhampton Wanderers,England,DEF,1
3,Jonny,Wolverhampton Wanderers,Spain,DEF,1
3,Rúben Vinagre,Wolverhampton Wanderers,Portugal,DEF,1
