rank,player,club,nationality,position,crosses
1,Joshua King,AFC Bournemouth,Norway,FWD,43
2,Callum Wilson,AFC Bournemouth,England,FWD,20
3,Lys Mousset,AFC Bournemouth,France,FWD,3
4,Dominic Solanke,AFC Bournemouth,England,FWD,1
1,Pierre-Emerick Aubameyang,Arsenal,Gabon,FWD,43
2,Alexandre Lacazette,Arsenal,France,FWD,29
1,Alireza Jahanbakhsh,Brighton and Hove Albion,Iran,FWD,23
2,Jürgen Locadia,Brighton and Hove Albion,Netherlands,FWD,12
3,Glenn Murray,Brighton and Hove Albion,England,FWD,8
4,José Izquierdo,Brighton and Hove Albion,Colombia,FWD,6
5,Florin Andone,Brighton and Hove Albion,Romania,FWD,5
1,Dwight McNeil,Burnley,England,FWD,117
2,Chris Wood,Burnley,New Zealand,FWD,12
3,Ashley Barnes,Burnley,Austria,FWD,6
4,Sam Vokes,Burnley,Wales,FWD,1
4,Matej Vydra,Burnley,Czech Republic,FWD,1
1,David Junior Hoilett,Cardiff City,Canada,FWD,85
2,Nathaniel Mendez-Laing,Cardiff City,England,FWD,27
3,Kenneth Zohore,Cardiff City,Denmark,FWD,7
4,Oumar Niasse,Cardiff City,Senegal,FWD,4
5,Rhys Healey,Cardiff City,England,FWD,3
6,Danny Ward,Cardiff City,England,FWD,2
1,Willian,Chelsea,Brazil,FWD,169
2,Eden Hazard,Chelsea,Belgium,FWD,145
3,Pedro,Chelsea,Spain,FWD,61
4,Callum Hudson-Odoi,Chelsea,England,FWD,22
5,Álvaro Morata,Chelsea,Spain,FWD,3
6,Gonzalo Higuaín,Chelsea,Argentina,FWD,2
7,Olivier Giroud,Chelsea,France,FWD,1
1,Wilfried Zaha,Crystal Palace,Cote D'Ivoire,FWD,37
2,Jordan Ayew,Crystal Palace,Ghana,FWD,15
3,Michy Batshuayi,Crystal Palace,Belgium,FWD,1
3,Christian Benteke,Crystal Palace,Belgium,FWD,1
3,Alexander Sørloth,Crystal Palace,Norway,FWD,1
3,Connor Wickham,Crystal Palace,England,FWD,1
1,Theo Walcott,Everton,England,FWD,53
2,Richarlison,Everton,Brazil,FWD,47
3,Ademola Lookman,Everton,England,FWD,15
4,Dominic Calvert-Lewin,Everton,England,FWD,8
5,Cenk Tosun,Everton,Turkey,FWD,4
6,Oumar Niasse,Everton,Senegal,FWD,1
1,Luciano Vietto,Fulham,Argentina,FWD,19
2,Aboubakar Kamara,Fulham,France,FWD,18
3,Floyd Ayité,Fulham,Togo,FWD,6
3,Aleksandar Mitrovic,Fulham,Serbia,FWD,6
1,Elias Kachunga,Huddersfield Town,The Democratic Republic Of Congo,FWD,15
2,Adama Diakhaby,Huddersfield Town,France,FWD,14
3,Karlan Grant,Huddersfield Town,England,FWD,9
3,Steve Mounie,Huddersfield Town,Benin,FWD,9
5,Laurent Depoitre,Huddersfield Town,Belgium,FWD,4
1,Jamie Vardy,Leicester City,England,FWD,28
2,Kelechi Iheanacho,Leicester City,Nigeria,FWD,6
1,Mohamed Salah,Liverpool,Egypt,FWD,57
2,Xherdan Shaqiri,Liverpool,Switzerland,FWD,47
3,Sadio Mané,Liverpool,Senegal,FWD,39
4,Roberto Firmino,Liverpool,Brazil,FWD,9
5,Divock Origi,Liverpool,Belgium,FWD,5
6,Daniel Sturridge,Liverpool,England,FWD,3
1,Leroy Sané,Manchester City,Germany,FWD,98
4,Raheem Sterling,Manchester City,England,FWD,75
11,Sergio Agüero,Manchester City,Argentina,FWD,13
15,Gabriel Jesus,Manchester City,Brazil,FWD,4
1,Marcus Rashford,Manchester United,England,FWD,55
2,Romelu Lukaku,Manchester United,Belgium,FWD,46
3,Anthony Martial,Manchester United,France,FWD,34
4,Alexis Sánchez,Manchester United,Chile,FWD,24
5,Mason Greenwood,Manchester United,England,FWD,1
1,Ayoze Pérez,Newcastle United,Spain,FWD,22
2,Salomón Rondón,Newcastle United,Venezuela,FWD,14
3,Yoshinori Muto,Newcastle United,Japan,FWD,4
4,Joselu,Newcastle United,Spain,FWD,3
1,Danny Ings,Southampton,England,FWD,14
1,Shane Long,Southampton,Ireland,FWD,14
3,Manolo Gabbiadini,Southampton,Italy,FWD,4
4,Michael Obafemi,Southampton,Ireland,FWD,1
1,Son Heung-Min,Tottenham Hotspur,South Korea,FWD,25
2,Harry Kane,Tottenham Hotspur,England,FWD,12
3,Vincent Janssen,Tottenham Hotspur,Netherlands,FWD,1
3,Fernando Llorente,Tottenham Hotspur,Spain,FWD,1
1,Gerard Deulofeu,Watford,Spain,FWD,62
2,Troy Deeney,Watford,England,FWD,16
3,Isaac Success,Watford,Nigeria,FWD,13
4,Andre Gray,Watford,England,FWD,8
1,Marko Arnautovic,West Ham United,Austria,FWD,18
2,Andriy Yarmolenko,West Ham United,Ukraine,FWD,10
3,Chicharito,West Ham United,Mexico,FWD,9
4,Lucas Pérez,West Ham United,Spain,FWD,2
5,Andy Carroll,West Ham United,England,FWD,1
1,Ivan Cavaleiro,Wolverhampton Wanderers,Portugal,FWD,54
2,Adama Traoré,Wolverhampton Wanderers,Spain,FWD,35
3,Raúl Jiménez,Wolverhampton Wanderers,Mexico,FWD,27
4,Léo Bonatini,Wolverhampton Wanderers,Brazil,FWD,4
