rank,player,club,nationality,position,touches
1,Joshua King,AFC Bournemouth,Norway,FWD,"1,493"
2,Callum Wilson,AFC Bournemouth,England,FWD,838
3,Lys Mousset,AFC Bournemouth,France,FWD,216
4,Dominic Solanke,AFC Bournemouth,England,FWD,195
5,Sam Surridge,AFC Bournemouth,England,FWD,9
6,Jermain Defoe,AFC Bournemouth,England,FWD,5
1,Alexandre Lacazette,Arsenal,France,FWD,"1,313"
2,Pierre-Emerick Aubameyang,Arsenal,Gabon,FWD,"1,132"
3,Danny Welbeck,Arsenal,England,FWD,87
4,Eddie Nketiah,Arsenal,England,FWD,37
1,Glenn Murray,Brighton and Hove Albion,England,FWD,978
2,Jürgen Locadia,Brighton and Hove Albion,Netherlands,FWD,525
3,Alireza Jahanbakhsh,Brighton and Hove Albion,Iran,FWD,514
4,Florin Andone,Brighton and Hove Albion,Romania,FWD,401
5,José Izquierdo,Brighton and Hove Albion,Colombia,FWD,345
1,Ashley Barnes,Burnley,Austria,FWD,984
2,Chris Wood,Burnley,New Zealand,FWD,976
3,Dwight McNeil,Burnley,England,FWD,871
4,Sam Vokes,Burnley,Wales,FWD,399
5,Matej Vydra,Burnley,Czech Republic,FWD,138
6,Peter Crouch,Burnley,England,FWD,42
1,David Junior Hoilett,Cardiff City,Canada,FWD,960
2,Nathaniel Mendez-Laing,Cardiff City,England,FWD,514
3,Oumar Niasse,Cardiff City,Senegal,FWD,410
4,Kenneth Zohore,Cardiff City,Denmark,FWD,265
5,Danny Ward,Cardiff City,England,FWD,159
6,Rhys Healey,Cardiff City,England,FWD,25
7,Gary Madine,Cardiff City,England,FWD,18
1,Eden Hazard,Chelsea,Belgium,FWD,"2,678"
2,Willian,Chelsea,Brazil,FWD,"1,792"
3,Pedro,Chelsea,Spain,FWD,"1,438"
4,Gonzalo Higuaín,Chelsea,Argentina,FWD,462
5,Álvaro Morata,Chelsea,Spain,FWD,384
6,Olivier Giroud,Chelsea,France,FWD,371
7,Callum Hudson-Odoi,Chelsea,England,FWD,309
1,Wilfried Zaha,Crystal Palace,Cote D'Ivoire,FWD,"1,932"
2,Jordan Ayew,Crystal Palace,Ghana,FWD,562
3,Christian Benteke,Crystal Palace,Belgium,FWD,381
4,Michy Batshuayi,Crystal Palace,Belgium,FWD,273
5,Alexander Sørloth,Crystal Palace,Norway,FWD,95
6,Connor Wickham,Crystal Palace,England,FWD,29
1,Richarlison,Everton,Brazil,FWD,"1,496"
2,Theo Walcott,Everton,England,FWD,985
3,Dominic Calvert-Lewin,Everton,England,FWD,802
4,Cenk Tosun,Everton,Turkey,FWD,445
5,Ademola Lookman,Everton,England,FWD,439
6,Oumar Niasse,Everton,Senegal,FWD,46
1,Aleksandar Mitrovic,Fulham,Serbia,FWD,"1,684"
2,Luciano Vietto,Fulham,Argentina,FWD,592
3,Aboubakar Kamara,Fulham,France,FWD,379
4,Floyd Ayité,Fulham,Togo,FWD,303
1,Steve Mounie,Huddersfield Town,Benin,FWD,855
2,Elias Kachunga,Huddersfield Town,The Democratic Republic Of Congo,FWD,500
3,Laurent Depoitre,Huddersfield Town,Belgium,FWD,467
4,Karlan Grant,Huddersfield Town,England,FWD,364
5,Adama Diakhaby,Huddersfield Town,France,FWD,273
6,Collin Quaner,Huddersfield Town,Germany,FWD,22
1,Jamie Vardy,Leicester City,England,FWD,757
2,Kelechi Iheanacho,Leicester City,Nigeria,FWD,419
3,Shinji Okazaki,Leicester City,Japan,FWD,169
1,Mohamed Salah,Liverpool,Egypt,FWD,"1,819"
2,Sadio Mané,Liverpool,Senegal,FWD,"1,806"
3,Roberto Firmino,Liverpool,Brazil,FWD,"1,762"
4,Xherdan Shaqiri,Liverpool,Switzerland,FWD,849
5,Daniel Sturridge,Liverpool,England,FWD,276
6,Divock Origi,Liverpool,Belgium,FWD,186
7,Raheem Sterling,Manchester City,England,FWD,"1,958"
12,Leroy Sané,Manchester City,Germany,FWD,"1,345"
13,Sergio Agüero,Manchester City,Argentina,FWD,"1,241"
20,Gabriel Jesus,Manchester City,Brazil,FWD,598
1,Marcus Rashford,Manchester United,England,FWD,"1,227"
2,Anthony Martial,Manchester United,France,FWD,"1,047"
3,Romelu Lukaku,Manchester United,Belgium,FWD,855
4,Alexis Sánchez,Manchester United,Chile,FWD,580
5,Mason Greenwood,Manchester United,England,FWD,91
1,Ayoze Pérez,Newcastle United,Spain,FWD,"1,433"
2,Salomón Rondón,Newcastle United,Venezuela,FWD,"1,248"
3,Joselu,Newcastle United,Spain,FWD,322
4,Yoshinori Muto,Newcastle United,Japan,FWD,228
1,Danny Ings,Southampton,England,FWD,720
2,Shane Long,Southampton,Ireland,FWD,558
3,Charlie Austin,Southampton,England,FWD,368
4,Manolo Gabbiadini,Southampton,Italy,FWD,203
5,Michael Obafemi,Southampton,Ireland,FWD,51
6,Sam Gallagher,Southampton,England,FWD,15
1,Son Heung-Min,Tottenham Hotspur,South Korea,FWD,"1,182"
2,Harry Kane,Tottenham Hotspur,England,FWD,"1,033"
3,Fernando Llorente,Tottenham Hotspur,Spain,FWD,341
4,Vincent Janssen,Tottenham Hotspur,Netherlands,FWD,20
1,Troy Deeney,Watford,England,FWD,"1,245"
2,Gerard Deulofeu,Watford,Spain,FWD,"1,191"
3,Isaac Success,Watford,Nigeria,FWD,611
4,Andre Gray,Watford,England,FWD,432
5,Stefano Okaka,Watford,Italy,FWD,25
1,Marko Arnautovic,West Ham United,Austria,FWD,916
2,Chicharito,West Ham United,Mexico,FWD,508
3,Andriy Yarmolenko,West Ham United,Ukraine,FWD,283
4,Andy Carroll,West Ham United,England,FWD,221
5,Lucas Pérez,West Ham United,Spain,FWD,205
6,Xande Silva,West Ham United,Portugal,FWD,9
1,Raúl Jiménez,Wolverhampton Wanderers,Mexico,FWD,"1,669"
2,Adama Traoré,Wolverhampton Wanderers,Spain,FWD,629
