rank,player,club,nationality,position,appearances
1,Joshua King,AFC Bournemouth,Norway,FWD,35
2,Callum Wilson,AFC Bournemouth,England,FWD,30
3,Lys Mousset,AFC Bournemouth,France,FWD,24
4,Dominic Solanke,AFC Bournemouth,England,FWD,10
5,Jermain Defoe,AFC Bournemouth,England,FWD,4
6,Sam Surridge,AFC Bournemouth,England,FWD,2
1,Pierre-Emerick Aubameyang,Arsenal,Gabon,FWD,36
2,Alexandre Lacazette,Arsenal,France,FWD,35
3,Danny Welbeck,Arsenal,England,FWD,8
4,Eddie Nketiah,Arsenal,England,FWD,5
5,Bukayo Saka,Arsenal,England,FWD,1
1,Glenn Murray,Brighton and Hove Albion,England,FWD,38
2,Jürgen Locadia,Brighton and Hove Albion,Netherlands,FWD,26
3,Florin Andone,Brighton and Hove Albion,Romania,FWD,23
4,Alireza Jahanbakhsh,Brighton and Hove Albion,Iran,FWD,19
5,José Izquierdo,Brighton and Hove Albion,Colombia,FWD,15
1,Chris Wood,Burnley,New Zealand,FWD,38
2,Ashley Barnes,Burnley,Austria,FWD,37
3,Dwight McNeil,Burnley,England,FWD,21
4,Sam Vokes,Burnley,Wales,FWD,20
5,Matej Vydra,Burnley,Czech Republic,FWD,13
6,Peter Crouch,Burnley,England,FWD,6
1,David Junior Hoilett,Cardiff City,Canada,FWD,32
2,Nathaniel Mendez-Laing,Cardiff City,England,FWD,20
3,Kenneth Zohore,Cardiff City,Denmark,FWD,19
4,Danny Ward,Cardiff City,England,FWD,14
5,Oumar Niasse,Cardiff City,Senegal,FWD,13
6,Gary Madine,Cardiff City,England,FWD,5
7,Rhys Healey,Cardiff City,England,FWD,3
1,Eden Hazard,Chelsea,Belgium,FWD,37
2,Willian,Chelsea,Brazil,FWD,32
3,Pedro,Chelsea,Spain,FWD,31
4,Olivier Giroud,Chelsea,France,FWD,27
5,Álvaro Morata,Chelsea,Spain,FWD,16
6,Gonzalo Higuaín,Chelsea,Argentina,FWD,14
7,Callum Hudson-Odoi,Chelsea,England,FWD,10
1,Wilfried Zaha,Crystal Palace,Cote D'Ivoire,FWD,34
2,Jordan Ayew,Crystal Palace,Ghana,FWD,20
3,Christian Benteke,Crystal Palace,Belgium,FWD,16
4,Alexander Sørloth,Crystal Palace,Norway,FWD,12
5,Michy Batshuayi,Crystal Palace,Belgium,FWD,11
6,Connor Wickham,Crystal Palace,England,FWD,6
1,Theo Walcott,Everton,England,FWD,37
2,Dominic Calvert-Lewin,Everton,England,FWD,35
2,Richarlison,Everton,Brazil,FWD,35
4,Cenk Tosun,Everton,Turkey,FWD,25
5,Ademola Lookman,Everton,England,FWD,21
6,Oumar Niasse,Everton,Senegal,FWD,5
1,Aleksandar Mitrovic,Fulham,Serbia,FWD,37
2,Luciano Vietto,Fulham,Argentina,FWD,20
3,Floyd Ayité,Fulham,Togo,FWD,16
4,Aboubakar Kamara,Fulham,France,FWD,13
1,Steve Mounie,Huddersfield Town,Benin,FWD,31
2,Laurent Depoitre,Huddersfield Town,Belgium,FWD,23
3,Elias Kachunga,Huddersfield Town,The Democratic Republic Of Congo,FWD,20
4,Karlan Grant,Huddersfield Town,England,FWD,13
5,Adama Diakhaby,Huddersfield Town,France,FWD,12
6,Collin Quaner,Huddersfield Town,Germany,FWD,2
1,Jamie Vardy,Leicester City,England,FWD,34
2,Kelechi Iheanacho,Leicester City,Nigeria,FWD,30
3,Shinji Okazaki,Leicester City,Japan,FWD,21
1,Mohamed Salah,Liverpool,Egypt,FWD,38
2,Sadio Mané,Liverpool,Senegal,FWD,36
3,Roberto Firmino,Liverpool,Brazil,FWD,34
4,Xherdan Shaqiri,Liverpool,Switzerland,FWD,24
5,Daniel Sturridge,Liverpool,England,FWD,18
6,Divock Origi,Liverpool,Belgium,FWD,12
4,Raheem Sterling,Manchester City,England,FWD,34
5,Sergio Agüero,Manchester City,Argentina,FWD,33
8,Leroy Sané,Manchester City,Germany,FWD,31
10,Gabriel Jesus,Manchester City,Brazil,FWD,29
1,Marcus Rashford,Manchester United,England,FWD,33
2,Romelu Lukaku,Manchester United,Belgium,FWD,32
3,Anthony Martial,Manchester United,France,FWD,27
4,Alexis Sánchez,Manchester United,Chile,FWD,20
5,Mason Greenwood,Manchester United,England,FWD,3
1,Ayoze Pérez,Newcastle United,Spain,FWD,37
2,Salomón Rondón,Newcastle United,Venezuela,FWD,32
